,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
193,20.0,2.0,3.0,2.0,3.0,25.0,8.0,20.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,1.0,0.0,1.0
194,2.0,1.0,3.0,2.0,2.0,23.0,30.0,0.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,739.0,326.0,0.0
196,10.0,2.0,4.0,2.0,3.0,7.0,27.0,19.0,0.0,81.98,0.44,33.0,15.0,53.0,5.842,57.0,14.0,-6.0
197,20.0,1.0,2.0,4.0,4.0,46.0,24.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,91.0,54.0,6.0
198,7.0,1.0,4.0,2.0,2.0,28.0,42.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,145.0,49.0,-2.0
199,5.0,1.0,3.0,4.0,4.0,39.0,31.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,504.0,240.0,2.0
200,10.0,1.0,4.0,3.0,3.0,29.0,41.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,57.0,43.0,3.0
202,16.0,1.0,3.0,2.0,2.0,18.0,52.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,73.0,52.0,5.0
203,4.0,1.0,3.0,2.0,2.0,27.0,43.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,504.0,264.0,0.0
204,18.0,2.0,3.0,2.0,4.0,16.0,34.0,20.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,73.0,21.0,1.0
205,14.0,1.0,3.0,4.0,4.0,38.0,32.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,0.0,20.0,1.0
206,12.0,1.0,3.0,2.0,2.0,28.0,42.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,85.0,92.0,2.0
207,13.0,1.0,3.0,2.0,2.0,21.0,49.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,85.0,37.0,-2.0
208,11.0,1.0,3.0,4.0,4.0,36.0,34.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,91.0,37.0,-1.0
211,8.0,1.0,4.0,2.0,2.0,29.0,41.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,145.0,96.0,3.0
212,15.0,1.0,3.0,2.0,2.0,16.0,54.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,1.0,0.0,-1.0
213,2.0,2.0,3.0,2.0,3.0,5.0,41.0,24.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,739.0,326.0,-6.0
214,19.0,1.0,3.0,2.0,2.0,18.0,52.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,1.0,1.0,0.0
216,5.0,1.0,4.0,3.0,3.0,30.0,23.0,0.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,91.0,54.0,1.0
217,16.0,1.0,3.0,2.0,2.0,23.0,30.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,145.0,49.0,6.0
218,4.0,3.0,4.0,2.0,2.0,6.0,6.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,504.0,240.0,-9.0
219,20.0,2.0,3.0,3.0,4.0,19.0,7.0,27.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,57.0,43.0,5.0
220,13.0,2.0,4.0,3.0,4.0,7.0,22.0,24.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,0.0,8.0,-3.0
221,17.0,1.0,3.0,4.0,4.0,28.0,25.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,85.0,95.0,6.0
222,18.0,1.0,3.0,4.0,4.0,28.0,25.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,73.0,52.0,11.0
223,1.0,1.0,4.0,2.0,2.0,20.0,33.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,504.0,264.0,0.0
224,9.0,2.0,4.0,4.0,3.0,15.0,7.0,31.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,73.0,21.0,-3.0
225,8.0,1.0,4.0,3.0,3.0,26.0,27.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,417.0,92.0,2.0
226,6.0,1.0,4.0,3.0,3.0,29.0,24.0,0.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,91.0,37.0,1.0
227,19.0,2.0,3.0,4.0,3.0,1.0,26.0,26.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,417.0,278.0,11.0
228,2.0,2.0,4.0,3.0,4.0,19.0,30.0,4.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,739.0,413.0,-1.0
229,14.0,1.0,3.0,2.0,2.0,23.0,30.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,1.0,0.0,0.0
230,3.0,1.0,4.0,3.0,3.0,27.0,26.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,739.0,326.0,1.0
231,15.0,2.0,3.0,4.0,3.0,29.0,15.0,9.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,1.0,1.0,-2.0
232,10.0,1.0,4.0,3.0,3.0,21.0,32.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,57.0,14.0,1.0
233,8.0,2.0,3.0,2.0,1.0,4.0,21.0,28.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,145.0,49.0,-3.0
234,1.0,2.0,3.0,3.0,2.0,16.0,15.0,22.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,504.0,240.0,-1.0
235,13.0,2.0,2.0,1.0,3.0,15.0,21.0,17.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,57.0,43.0,1.0
236,10.0,1.0,3.0,1.0,1.0,16.0,37.0,0.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,28.0,8.0,-3.0
238,17.0,2.0,3.0,2.0,3.0,19.0,22.0,12.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,73.0,52.0,9.0
239,2.0,3.0,3.0,2.0,3.0,3.0,22.0,0.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,504.0,264.0,-4.0
240,12.0,1.0,3.0,2.0,2.0,18.0,35.0,0.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,73.0,21.0,3.0
241,19.0,2.0,2.0,1.0,3.0,17.0,30.0,6.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,28.0,20.0,4.0
242,6.0,2.0,3.0,2.0,3.0,15.0,19.0,19.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,417.0,92.0,2.0
243,14.0,1.0,3.0,2.0,2.0,27.0,26.0,0.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,85.0,37.0,4.0
247,3.0,2.0,3.0,2.0,3.0,17.0,19.0,17.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,739.0,326.0,2.0
248,20.0,2.0,2.0,1.0,2.0,22.0,11.0,20.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,1.0,1.0,3.0
249,11.0,2.0,2.0,1.0,3.0,18.0,31.0,4.0,0.0,71.04,0.57,40.4,18.0,53.0,5.807,57.0,14.0,-3.0
250,13.0,1.0,2.0,3.0,3.0,50.0,21.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,91.0,54.0,5.0
251,2.0,1.0,3.0,2.0,2.0,37.0,34.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,504.0,240.0,0.0
253,10.0,2.0,4.0,2.0,3.0,9.0,40.0,22.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,85.0,95.0,1.0
254,11.0,1.0,3.0,2.0,2.0,20.0,51.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,73.0,52.0,4.0
255,1.0,2.0,3.0,3.0,2.0,15.0,28.0,28.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,504.0,264.0,-3.0
256,16.0,1.0,3.0,2.0,2.0,37.0,34.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,73.0,21.0,4.0
257,17.0,1.0,3.0,2.0,2.0,28.0,43.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,28.0,20.0,2.0
259,9.0,2.0,4.0,2.0,3.0,10.0,34.0,27.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,85.0,37.0,-2.0
260,12.0,1.0,3.0,2.0,2.0,18.0,53.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,91.0,37.0,2.0
261,4.0,1.0,3.0,2.0,2.0,5.0,66.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,417.0,278.0,-2.0
262,3.0,1.0,3.0,2.0,2.0,23.0,48.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,739.0,413.0,2.0
263,7.0,2.0,4.0,2.0,3.0,15.0,20.0,36.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,145.0,96.0,-6.0
264,19.0,1.0,3.0,2.0,2.0,22.0,49.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,1.0,0.0,3.0
265,6.0,1.0,3.0,2.0,2.0,36.0,35.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,739.0,326.0,3.0
266,20.0,2.0,3.0,2.0,3.0,21.0,39.0,11.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,1.0,1.0,2.0
267,15.0,1.0,3.0,2.0,2.0,21.0,50.0,0.0,0.0,73.73,0.47,2.8,17.0,71.0,4.304,57.0,14.0,1.0
268,6.0,1.0,5.0,4.0,4.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,91.0,54.0,-3.0
269,12.0,1.0,4.0,5.0,5.0,47.0,31.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,145.0,49.0,1.0
270,4.0,1.0,5.0,3.0,3.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,504.0,240.0,2.0
271,14.0,1.0,5.0,4.0,4.0,46.0,32.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,57.0,43.0,-3.0
272,13.0,1.0,5.0,4.0,4.0,50.0,28.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,0.0,8.0,3.0
273,8.0,2.0,5.0,4.0,5.0,27.0,35.0,16.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,417.0,95.0,3.0
274,16.0,1.0,4.0,3.0,3.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,73.0,52.0,4.0
275,17.0,1.0,4.0,3.0,3.0,39.0,39.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,73.0,21.0,1.0
276,5.0,1.0,5.0,4.0,4.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,0.0,20.0,-9.0
277,10.0,1.0,5.0,4.0,4.0,40.0,38.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,85.0,92.0,2.0
278,7.0,1.0,5.0,4.0,4.0,32.0,46.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,85.0,37.0,0.0
279,11.0,1.0,4.0,3.0,3.0,9.0,69.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,91.0,37.0,-2.0
280,3.0,1.0,5.0,3.0,3.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,417.0,278.0,-1.0
281,1.0,1.0,5.0,4.0,4.0,11.0,67.0,0.0,1.0,69.35,0.68,42.0,19.0,78.0,3.337,739.0,413.0,0.0
282,9.0,1.0,5.0,4.0,4.0,30.0,48.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,145.0,96.0,3.0
283,19.0,1.0,5.0,4.0,4.0,10.0,68.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,1.0,0.0,4.0
284,2.0,2.0,5.0,4.0,3.0,11.0,1.0,66.0,2.0,69.35,0.68,42.0,19.0,78.0,3.337,739.0,326.0,-1.0
286,18.0,1.0,5.0,4.0,4.0,44.0,34.0,0.0,0.0,69.35,0.68,42.0,19.0,78.0,3.337,57.0,14.0,-1.0
289,16.0,1.0,3.0,4.0,4.0,26.0,27.0,0.0,0.0,71.79,0.65,1.9,18.0,53.0,5.848,85.0,95.0,2.0
290,11.0,1.0,4.0,3.0,3.0,23.0,30.0,0.0,0.0,71.79,0.65,1.9,18.0,53.0,5.848,73.0,52.0,4.0
291,1.0,2.0,4.0,3.0,4.0,22.0,8.0,23.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,504.0,264.0,-2.0
292,14.0,1.0,3.0,4.0,4.0,27.0,26.0,0.0,0.0,71.79,0.65,1.9,18.0,53.0,5.848,73.0,21.0,3.0
293,13.0,1.0,4.0,3.0,3.0,27.0,26.0,0.0,0.0,71.79,0.65,1.9,18.0,53.0,5.848,28.0,20.0,4.0
294,20.0,1.0,3.0,4.0,4.0,29.0,24.0,0.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,417.0,92.0,15.0
295,19.0,2.0,2.0,4.0,4.0,27.0,2.0,24.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,85.0,37.0,7.0
296,6.0,2.0,4.0,3.0,4.0,16.0,13.0,24.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,91.0,37.0,-4.0
297,9.0,1.0,4.0,3.0,3.0,28.0,25.0,0.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,417.0,278.0,5.0
299,5.0,1.0,4.0,3.0,3.0,21.0,32.0,0.0,0.0,71.79,0.65,1.9,18.0,53.0,5.848,145.0,96.0,-1.0
300,4.0,1.0,3.0,4.0,4.0,28.0,25.0,0.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,739.0,326.0,2.0
301,12.0,2.0,4.0,2.0,3.0,2.0,25.0,26.0,1.0,71.79,0.65,1.9,18.0,53.0,5.848,57.0,14.0,-3.0
302,20.0,1.0,4.0,3.0,3.0,34.0,27.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,91.0,54.0,6.0
303,9.0,1.0,5.0,3.0,3.0,20.0,41.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,145.0,49.0,2.0
304,3.0,1.0,5.0,3.0,3.0,19.0,42.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,504.0,240.0,2.0
305,17.0,2.0,4.0,3.0,5.0,23.0,12.0,26.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,28.0,8.0,6.0
306,11.0,1.0,3.0,4.0,4.0,32.0,29.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,85.0,95.0,3.0
307,1.0,1.0,5.0,3.0,3.0,20.0,41.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,504.0,264.0,-1.0
308,16.0,3.0,4.0,3.0,5.0,31.0,10.0,0.0,1.0,85.56,0.7,5.3,23.0,61.0,5.065,73.0,21.0,3.0
309,13.0,2.0,4.0,3.0,5.0,18.0,38.0,5.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,28.0,20.0,-4.0
310,6.0,1.0,5.0,3.0,3.0,20.0,41.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,417.0,92.0,0.0
311,14.0,2.0,4.0,3.0,5.0,12.0,24.0,25.0,1.0,85.56,0.7,5.3,23.0,61.0,5.065,85.0,37.0,-1.0
312,8.0,2.0,5.0,3.0,4.0,1.0,35.0,25.0,1.0,85.56,0.7,5.3,23.0,61.0,5.065,91.0,37.0,-1.0
313,4.0,1.0,5.0,3.0,3.0,19.0,42.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,417.0,278.0,1.0
314,2.0,1.0,5.0,3.0,3.0,26.0,35.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,739.0,413.0,-2.0
315,7.0,2.0,5.0,3.0,4.0,1.0,34.0,26.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,145.0,96.0,-5.0
316,5.0,1.0,5.0,3.0,3.0,22.0,39.0,0.0,0.0,85.56,0.7,5.3,23.0,61.0,5.065,739.0,326.0,0.0
317,19.0,2.0,4.0,3.0,4.0,21.0,23.0,17.0,1.0,85.56,0.7,5.3,23.0,61.0,5.065,1.0,1.0,3.0
320,3.0,2.0,3.0,2.0,2.0,19.0,21.0,26.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,504.0,240.0,-1.0
322,7.0,2.0,3.0,2.0,3.0,26.0,20.0,20.0,1.0,69.31,0.5,29.6,16.0,66.0,4.655,0.0,8.0,-3.0
325,5.0,2.0,3.0,1.0,2.0,25.0,21.0,20.0,1.0,69.31,0.5,29.6,16.0,66.0,4.655,504.0,264.0,0.0
328,9.0,2.0,3.0,2.0,2.0,21.0,24.0,21.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,85.0,37.0,0.0
329,20.0,1.0,2.0,3.0,3.0,35.0,31.0,0.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,91.0,37.0,7.0
330,4.0,2.0,3.0,3.0,2.0,20.0,23.0,23.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,417.0,278.0,1.0
331,2.0,2.0,3.0,2.0,3.0,27.0,19.0,20.0,1.0,69.31,0.5,29.6,16.0,66.0,4.655,739.0,413.0,1.0
332,12.0,2.0,3.0,2.0,3.0,24.0,22.0,20.0,1.0,69.31,0.5,29.6,16.0,66.0,4.655,145.0,96.0,4.0
335,17.0,2.0,2.0,3.0,2.0,31.0,13.0,22.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,1.0,1.0,-1.0
336,18.0,2.0,3.0,1.0,3.0,6.0,35.0,25.0,0.0,69.31,0.5,29.6,16.0,66.0,4.655,57.0,14.0,2.0
337,9.0,1.0,4.0,2.0,2.0,21.0,35.0,0.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,91.0,54.0,3.0
339,17.0,2.0,4.0,2.0,4.0,18.0,22.0,16.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,57.0,43.0,6.0
341,10.0,2.0,4.0,2.0,4.0,19.0,34.0,3.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,85.0,95.0,-6.0
342,20.0,1.0,3.0,2.0,2.0,24.0,32.0,0.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,73.0,52.0,10.0
344,14.0,2.0,3.0,2.0,4.0,9.0,20.0,27.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,73.0,21.0,1.0
345,12.0,2.0,3.0,2.0,4.0,18.0,22.0,16.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,28.0,20.0,-6.0
348,11.0,2.0,2.0,3.0,4.0,27.0,12.0,17.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,91.0,37.0,2.0
350,5.0,1.0,3.0,2.0,2.0,24.0,32.0,0.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,739.0,413.0,3.0
351,7.0,1.0,4.0,2.0,2.0,18.0,38.0,0.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,145.0,96.0,-1.0
354,16.0,2.0,3.0,2.0,4.0,17.0,22.0,17.0,0.0,69.97,0.26,30.9,20.0,56.0,5.513,57.0,14.0,2.0
355,18.0,1.0,3.0,4.0,4.0,35.0,19.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,62.0,12.0,4.0
357,3.0,1.0,4.0,3.0,3.0,15.0,40.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,571.0,320.0,1.0
358,7.0,1.0,5.0,3.0,3.0,7.0,47.0,0.0,1.0,90.49,0.38,10.7,21.0,55.0,5.554,93.0,37.0,-2.0
359,14.0,1.0,4.0,3.0,3.0,26.0,29.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,0.0,62.0,6.0
360,15.0,1.0,4.0,3.0,3.0,27.0,27.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,62.0,50.0,4.0
361,8.0,1.0,5.0,3.0,3.0,7.0,48.0,0.0,1.0,90.49,0.38,10.7,21.0,55.0,5.554,48.0,39.0,1.0
362,20.0,1.0,3.0,4.0,4.0,40.0,14.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,7.0,6.0,7.0
363,13.0,1.0,3.0,4.0,4.0,41.0,13.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,93.0,56.0,3.0
364,16.0,1.0,4.0,3.0,3.0,1.0,53.0,0.0,1.0,90.49,0.38,10.7,21.0,55.0,5.554,33.0,4.0,4.0
365,6.0,1.0,5.0,3.0,3.0,17.0,38.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,419.0,249.0,3.0
366,19.0,1.0,3.0,4.0,4.0,35.0,19.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,7.0,1.0,4.0
367,1.0,1.0,4.0,3.0,3.0,7.0,48.0,0.0,1.0,90.49,0.38,10.7,21.0,55.0,5.554,655.0,408.0,0.0
368,11.0,1.0,4.0,3.0,3.0,37.0,18.0,0.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,122.0,53.0,5.0
369,2.0,2.0,4.0,3.0,4.0,16.0,24.0,15.0,0.0,90.49,0.38,10.7,21.0,55.0,5.554,655.0,247.0,-3.0
370,11.0,1.0,4.0,3.0,3.0,25.0,33.0,0.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,62.0,12.0,2.0
371,8.0,1.0,3.0,2.0,2.0,26.0,32.0,0.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,419.0,170.0,4.0
372,3.0,1.0,4.0,2.0,2.0,26.0,32.0,0.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,571.0,320.0,2.0
373,2.0,1.0,4.0,2.0,2.0,18.0,40.0,0.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,571.0,251.0,-1.0
374,12.0,1.0,4.0,2.0,2.0,24.0,34.0,0.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,52.0,62.0,1.0
375,10.0,1.0,4.0,2.0,2.0,26.0,32.0,0.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,62.0,50.0,5.0
376,18.0,2.0,3.0,2.0,4.0,20.0,7.0,31.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,48.0,39.0,5.0
377,13.0,2.0,3.0,2.0,4.0,25.0,4.0,29.0,1.0,75.07,0.35,2.6,16.0,58.0,5.303,7.0,6.0,-1.0
379,16.0,2.0,3.0,2.0,4.0,1.0,21.0,35.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,33.0,4.0,1.0
380,14.0,1.0,4.0,2.0,2.0,23.0,35.0,0.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,52.0,49.0,2.0
381,4.0,1.0,3.0,2.0,2.0,21.0,37.0,0.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,419.0,249.0,-2.0
382,1.0,1.0,4.0,2.0,2.0,19.0,39.0,0.0,0.0,75.07,0.35,2.6,16.0,58.0,5.303,655.0,408.0,-1.0
